Company, Data_Date, Country, ServSize_ml, Item, Calories, Fat_g, SatFat_g, Carbs_g, Fibre_g,Sugars_Total_g
Tim Hortons, Oct 2021, Canada, 0,"Original Blend Coffee - Small",3,0,0,0,0,0
Tim Hortons, Oct 2021, Canada, 0,"Original Blend Coffee - Medium",4,0,0,0,0,0
Tim Hortons, Oct 2021, Canada, 0,"Original Blend Coffee - Large",5,0,0,0,0,0
Tim Hortons, Oct 2021, Canada, 0,"Original Blend Coffee - X Large",5,0,0,0,0,0
Tim Hortons, Oct 2021, Canada, 0,"Dark Roast Coffee - Small",3,0,0,0,0,0
Tim Hortons, Oct 2021, Canada, 0,"Dark Roast Coffee - Medium",4,0,0,0,0,0
Tim Hortons, Oct 2021, Canada, 0,"Dark Roast Coffee - Large",5,0,0,0,0,0
Tim Hortons, Oct 2021, Canada, 0,"Dark Roast Coffee - X Large",5,0,0,0,0,0
Tim Hortons, Oct 2021, Canada, 0,"Decaf Coffee - Small",3,0,0,0,0,0
Tim Hortons, Oct 2021, Canada, 0,"Decaf Coffee - Medium",4,0,0,0,0,0
Tim Hortons, Oct 2021, Canada, 0,"Decaf Coffee - Large",5,0,0,0,0,0
Tim Hortons, Oct 2021, Canada, 0,"Decaf Coffee - X Large",5,0,0,0,0,0
Tim Hortons, Oct 2021, Canada, 0,"Regular Coffee - Small",70,4,2.5,8,0,8
Tim Hortons, Oct 2021, Canada, 0,"Regular Coffee - Medium",100,6,4,11,0,11
Tim Hortons, Oct 2021, Canada, 0,"Regular Coffee - Large",120,8,5,14,0,13
Tim Hortons, Oct 2021, Canada, 0,"Regular Coffee - X Large",150,9,6,18,0,17
Tim Hortons, Oct 2021, Canada, 0,"Double Double Coffee - Small",130,8,4.5,16,0,16
Tim Hortons, Oct 2021, Canada, 0,"Double Double Coffee - Medium",200,13,8,22,0,21
Tim Hortons, Oct 2021, Canada, 0,"Double Double Coffee - Large",250,15,10,28,0,27
Tim Hortons, Oct 2021, Canada, 0,"Double Double Coffee - X Large",300,18,11,35,0,34
Tim Hortons, Oct 2021, Canada, 0,"Latte - Small",90,3.5,2,10,0,9
Tim Hortons, Oct 2021, Canada, 0,"Latte - Medium",140,5,3.5,14,0,13
Tim Hortons, Oct 2021, Canada, 0,"Latte - Large",180,7,4.5,18,0,17
Tim Hortons, Oct 2021, Canada, 0,"Cappuccino - Small",80,3,2,9,0,8
Tim Hortons, Oct 2021, Canada, 0,"Cappuccino - Medium",120,4.5,3,12,0,11
Tim Hortons, Oct 2021, Canada, 0,"Cappuccino - Large",150,6,3.5,15,0,14
Tim Hortons, Oct 2021, Canada, 0,"Coffee Mocha - Small",100,1,1,23,1,16
Tim Hortons, Oct 2021, Canada, 0,"Coffee Mocha - Medium",140,1.5,1.5,31,1,22
Tim Hortons, Oct 2021, Canada, 0,"Coffee Mocha - Large",220,2.5,2.5,48,2,33
Tim Hortons, Oct 2021, Canada, 0,"Coffee Mocha - X Large",250,3,3,54,2,37
Tim Hortons, Oct 2021, Canada, 0,"French Vanilla - Small",250,9,9,39,0,31
Tim Hortons, Oct 2021, Canada, 0,"French Vanilla - Medium",320,11,11,49,0,40
Tim Hortons, Oct 2021, Canada, 0,"French Vanilla - Large",430,15,15,65,0,53
Tim Hortons, Oct 2021, Canada, 0,"French Vanilla - X Large",570,20,20,86,0,70
Tim Hortons, Oct 2021, Canada, 0,"Hot Chocolate - Small",220,3,2.5,48,1,34
Tim Hortons, Oct 2021, Canada, 0,"Hot Chocolate - Medium",280,4,3,62,2,43
Tim Hortons, Oct 2021, Canada, 0,"Hot Chocolate - Large",30,5,4,82,2,58
Tim Hortons, Oct 2021, Canada, 0,"Hot Chocolate - X Large",500,7,6,108,3,76
Tim Hortons, Oct 2021, Canada, 0,"White Hot Chocolate - Small",250,9,8,43,0,36
Tim Hortons, Oct 2021, Canada, 0,"White Hot Chocolate - Medium",320,11,10,55,0,45
Tim Hortons, Oct 2021, Canada, 0,"White Hot Chocolate - Large",430,15,14,73,0,60
Tim Hortons, Oct 2021, Canada, 0,"White Hot Chocolate - X Large",570,20,18,96,0,80
Tim Hortons, Oct 2021, Canada, 0,"London Fog - Small",110,2,1.5,18,0,18
Tim Hortons, Oct 2021, Canada, 0,"London Fog - Medium",190,3,2,34,0,33
Tim Hortons, Oct 2021, Canada, 0,"London Fog - Large",270,4.5,3,50,0,49
Tim Hortons, Oct 2021, Canada, 0,"Bagged Tea",0,0,0,0,0,0
Tim Hortons, Oct 2021, Canada, 0,"Steeped Tea",0,0,0,0,0,0
Tim Hortons, Oct 2021, Canada, 0,"Iced Coffee - Small",110,6,4,13,0,13
Tim Hortons, Oct 2021, Canada, 0,"Iced Coffee - Medium",150,8,4.5,20,0,19
Tim Hortons, Oct 2021, Canada, 0,"Iced Coffee - Large",220,13,8,27,0,26
Tim Hortons, Oct 2021, Canada, 0,"Light Iced Coffee - Small",70,1,0.5,14,0,14
Tim Hortons, Oct 2021, Canada, 0,"Light Iced Coffee - Medium",100,1.5,1,21,0,21
Tim Hortons, Oct 2021, Canada, 0,"Light Iced Coffee - Large",140,1.5,1,28,0,28
Tim Hortons, Oct 2021, Canada, 0,"Original Cold Brew - Small",0,0,0,0,0,0
Tim Hortons, Oct 2021, Canada, 0,"Original Cold Brew - Medium",0,0.1,0,0,0,0
Tim Hortons, Oct 2021, Canada, 0,"Original Cold Brew - Large",0,0.1,0,0,0,0
Tim Hortons, Oct 2021, Canada, 0,"Vanilla Cream Cold Brew - Small",120,6,3.5,15,0,15
Tim Hortons, Oct 2021, Canada, 0,"Vanilla Cream Cold Brew - Medium",160,7,4,22,0,22
Tim Hortons, Oct 2021, Canada, 0,"Vanilla Cream Cold Brew - Large",240,12,7,30,0,30
Tim Hortons, Oct 2021, Canada, 0,"Original Iced Capp® - Small",230,11,7,31,0,29
Tim Hortons, Oct 2021, Canada, 0,"Original Iced Capp® - Medium",310,16,10,41,0,39
Tim Hortons, Oct 2021, Canada, 0,"Original Iced Capp® - Large",420,22,14,55,0,52
Tim Hortons, Oct 2021, Canada, 0,"Light Iced Capp® - Small",140,1,1,31,0,30
Tim Hortons, Oct 2021, Canada, 0,"Light Iced Capp® - Medium",190,2,1,41,0,39
Tim Hortons, Oct 2021, Canada, 0,Light Iced Capp® - Large,260,2.5,1.5,56,0,53
Tim Hortons, Oct 2021, Canada, 0,Mocha Iced Capp® - Small,350,17,12,50,1,47
Tim Hortons, Oct 2021, Canada, 0,Mocha Iced Capp® - Medium,450,22,15,63,1,59
Tim Hortons, Oct 2021, Canada, 0,Mocha Iced Capp® - Large,570,27,19,81,1,76
